source,page,type,text
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,3,caption,Fig. 8 Query Sketch proposed by SQLNet
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,19,page,"A survey on deep learning approaches for text-to-SQL 923 this methodology, hinting at its weaknesses. For example, one of the main challenges is to effectively pass all the infor- mation of the prediction history and the current state of the generated SQL to each module, at every prediction step. 6.3 Graph representations The use of graphs for input encoding has only recently seen increased use, despite its powerful capability to represent the DB schema. This section explores key systems that have shown new perspectives on how graphs can be represented and used in the text-to-SQL task. A natural option for processing graphs are Graph Neu- ral Networks (GNNs). However, while being a good option for tasks such as node classiﬁcation, node clustering and edge prediction, they are not as suitable for generative tasks like the text-to-SQL problem. Two systems manage to lever- age GNNs to encode the database schema and its elements: the GNN parser [ 8] and its successor Global-GNN parser [9]. To achieve this, the database schema is represented as a graph, where tables and columns are represented as nodes, and different types of edges represent the relation- ships between them (e.g. which columns appear in which table and which columns and tables are connected with a primary-foreign key relationship). For NLQ encoding, both systems use word embeddings and LSTM networks, while node encodings calculated by the GNNs are concatenated to each word embedding, based on the discovered schema links. For decoding, both systems use a grammar-based decoder [99] that generates a SQL query as an Abstract Syntax Tree (AST), which is often used by grammar-based systems [10,33,89]. Global-GNN [ 9] introduces the use of a re-ranker that, given k SQL predictions from the network, chooses the best interpretation based on the database elements used and the graph representation calculated. In order to avoid the disadvantages of GNNs, other efforts modify architectures that have already shown their power in the text-to-SQL task, such as the Transformer [ 87], so that they can accept edge information and process a graph. RAT- SQL [89] uses a graph representation of the input, but instead of using GNNs, it proposes a modiﬁed Transformer archi- tecture named Relation Aware Transformer (RA T). Firstly, it creates a question-contextualised schema graph , i.e. a graph representing the database tables and columns as well as the words of the NLQ as nodes and the relationships between them as edges. An edge can appear either between two database nodes, similarly to the previous systems, or between a database node and a word node. In this graph, schema link- ing is performed to discover connections between a database node and a word node that might refer to it. The names of all the nodes in the graph are ﬁrst encoded using BERT [ 19] and then processed by the RA T network, along with the edge information of each node. The RA T neural block performs relation aware self-attention on its inputs, which essentially biases the network towards the given relations (edges). This allows the system to use Transformers and even pre-trained language models to process the graph as a series while also utilising the information present in the graph edges. Finally, it generates a SQL query as an AST using the method men- tioned above [ 99]. All systems discussed in this section have grammar-based decoders. This happens mainly because they aim to produce complex queries such as the ones in the Spider dataset, and at the time of their publication, grammar-based decoders were the most common option. It would be possible for a system using a graph representation of the input to use a different decoder with its own advantages and drawbacks. 6.4 Using intermediate languages Following the success of the grammar-based methods in generating complex SQL queries over multi-table DBs, researchers also examined the use of languages during the decoding phase that can better align with NL than SQL mak- ing it easier for the system to make predictions, but at the same time they can be deterministically translated into SQL. We examine key systems that use an Intermediate Language, either a pre-existing language or one created speciﬁcally for this task, as the target language for the neural decoder. IRNet [33] is a grammar-based system capable of gener- ating complex SQL queries, such as the ones in the Spider dataset. It uses the same AST decoding method [ 99] for code generation used in other grammar-based text-to-SQL sys- tems (e.g. RA TSQL [89] and the GNN parser [ 8]). The main difference is that it predicts an AST of a SemQL program, which is an Intermediate Language created speciﬁcally for this system. Its authors argue that it is easier to generate queries in this language and then transform them to SQL. Furthermore, IRNet performs schema linking by consider- ing all n-grams of length 1 to 6 as query candidates and all column and table names as DB candidates and uses exact and partial matches to discover links between them. It also searches for all query candidates that appear inside quotes in the ConceptNet knowledge graph [ 82] in order to link them to a database column or table. Input encoding uses BERT followed by linear and recurrent neural networks. SmBoP [75] is a grammar-based system that introduces various novelties in the decoding phase. The use of rela- tional algebra as an Intermediate Language is one of them. Its authors argue that, along with being better aligned with NL, relational algebra is a language that is already used by DB engines, unlike SemQL. Additionally, in order to decode ASTs of queries in relational algebra, SmBoP uses a bottom- up parser, in contrast to the usual approach of generating ASTs by performing top-down depth-ﬁrst traversal, followed by almost all text-to-SQL systems. The bottom-up decoder 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,20,page,"924 G. Katsogiannis-Meimarakis, G. Koutrika generates at time step t, the top- k sub-trees of height ≤ t, where k is a given parameter that represents the number of beams used during the decoding search. The main advan- tage of the bottom-up parsing is that at any given time-step, the generated sub-trees are meaningful and executable sub- programs, while in the top-down parsing, intermediate states are partial programs without a clear meaning. 6 . 5T h ea g eo fB E R T Much like in other NLP problems, replacing a conventional encoder with a pre-trained language model such as BERT [19] has been shown to improve performance of a text-to- SQL system. SQLova [39] is a sketch-based approach focused on the WikiSQL dataset. It employs a large and complex network almost identical to the one used by SQLNet, with its main difference being that instead of GloV e embeddings, it uses BERT to create a contextualised representation of the NLQ and table headers. The representations are then passed to 6 networks, each responsible for a different part of the query sketch, that are very similar to the sub-networks used by SQLNet. The result is a staggering, almost 20%, increase in execution accuracy on the test set of WikiSQL, indicating BERT’s power in the text-to-SQL task. HydraNet [62] is another sketch-based approach on the WikiSQL benchmark taking advantage of the BERT lan- guage model. Its main difference from SQLova is that HydraNet aligns itself better to the way that BERT has been pre-trained and only uses a simple linear network after receiv- ing the contextualised representations from BERT, instead of large networks with LSTMs and attention modules like SQLova. Furthermore, HydraNet processes each table header separately instead of jointly encoding them, an approach that is unique to this system. As a result, it can only make predic- tions for each column on its own, i.e. it decides if the column at hand will appear in the SELECT clause, if it will appear in the WHERE clause, what its operation will be if it appears in the WHERE clause and so on. HydraNet, with its simpler architecture leveraging BERT, achieves better accuracy on WikiSQL than SQLova, which employs a larger and more complex network. X-SQL [35] is a sketch-based system using the MT- DNN pre-trained language model [ 58], that was built for the WikiSQL benchmark. Similarly to HydraNet, it uses much simpler networks than SQLova for ﬁlling the slots of the query sketch. However, it encodes all table headers simulta- neously, along with the user question. Additionally, instead of using segment embeddings that originally indicate the span of different sentences in the language model’s input, X-SQL uses type embeddings. These embeddings differenti- ate between the different types of elements in the input, such as the user’s question, categorical columns and numerical columns. Furthermore, it uses an attention layer to create a single token representation for columns that have more than one token (i.e. more than one word in their name). X-SQL also outperforms the much more complex SQLova, achieving slightly lower scores than HydraNet. 6.6 Schema linking focus As discussed earlier, schema linking is a major part of creat- ing a SQL query from a NLQ. This section looks into systems that have put extra effort on schema linking, or even based their entire workﬂow on this process. TypeSQL [103] is one of the ﬁrst systems to introduce a process similar to schema linking in its workﬂow, and one of the few systems working on WikiSQL that uses schema linking. Its methodology is described as Type Recognition , but closely resonates to the concept of schema linking. The goal of this methodology is to assign a “type” to every token of the NLQ. It considers all n-grams in the NLQ of length from 2 to 6 and tries to assign them one of the following “types”: ( a) Column, if it matches the name of a column or a value that appears under a column, ( b) Integer , Float, Date or Year, if it a numerical n-gram, ( c) Person, Place, Country, Organization or Sport by performing NER using the Free- base knowledge graph. Even though this process is unilateral, as its main goal is to classify the query candidates into a type category and not to explicitly link them to a DB candidate, it is one of the ﬁrst attempts towards schema linking. V alueNet[10] builds on the grammar-based system IRNet [33] focusing on schema linking and condition value dis- covery. The main motivation of the system is that despite the constant improvement of text-to-SQL systems, even the state-of-the-art is falling behind at predicting the correct val- ues in the SQL conditions. Similarly to IRNet, V alueNet decodes a SQL query in a SemQL 2.0 AST. SemQL 2.0 extends the SemQL grammar with values. Additionally, since condition values might not be written by the user in the exact same way they appear in the DB, V alueNet employs an extended value discovery workﬂow of ﬁve steps: • value extraction to recognise possible value mentions in the NLQ, it uses NER and heuristics; • value candidate generation to create additional candidate values, it uses string similarity, hand-crafted heuristics and n-grams; • value candidate validation to reduce the number of can- didate values, it keeps only the candidates that appear in the DB; • value candidate encoding it appends each candidate to the input along with the table and the column it was found under, and 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,21,page,"A survey on deep learning approaches for text-to-SQL 925 • neural processing the encoded representations are pro- cessed by the neural network, which eventually decides if and where they will be used. The authors also provide a classiﬁcation of the Spider queries based on the difﬁculty of discovering the values. This is another important aspect of the text-to-SQL problem usu- ally overlooked by other works. SDSQL [38] is a sketch-based system designed for the WikiSQL task. What is special about this system is that it can be viewed as two neural networks tackling two tasks at the same time. The ﬁrst network predicts SQL queries using the same architecture used by SQLova [39], while the second net- work performs schema dependency predictions. The schema dependency network uses bi-afﬁne networks [ 24] to predict dependencies between the words of the NLQ and the table headers. Such dependencies include: ( a)t h e select-column dependency that connects a query candidate that maps to a column that will appear in the SELECT clause with the corresponding column of the table, and ( b)t h e where-value dependency that connects the query candidate that refers to a value that will appear in the WHERE clause to the table column it belongs to. It must be noted that even though the second network performs schema linking, its predictions are not directly used by the ﬁrst network to construct the SQL query. Instead, a combined loss from the predictions of both tasks is used to train the weights of the networks, which allows the schema dependency learning to improve the ﬁrst network’s performance indirectly. IE-SQL [63] proposes a unique approach to the text-to- SQL problem almost completely based on schema linking. It uses two instances of BERT [ 19] to perform two differ- ent tasks: a mention extractor and a linker. The mention extractor recognises which query candidates are mentions of columns that will be used in the SELECT and WHERE clauses of the SQL query, mentions of aggregation func- tions, condition operators and condition values. Additionally, the mention extractor recognises mentions that should be grouped together. For example, the mentions of the column, the operator and the value that belong to the same condi- tion are grouped together. Having extracted the mentions, the linker maps the mentions of column names to the actual columns of the table they are referring to. The linker also maps value mentions without a grouped column to the appro- priate table column. By using the predictions of the mention extractor and the linker, IE-SQL can predict an SQL query, without any additional neural component. Even though this approach may not be a clear match with any of the three decoding categories, we classify it as a sketch-based system because its methodology is heavily based on the existence of a query sketch similar to the one used by SQLNet [ 96]. IE-SQL can better learn the dependencies between the slots and uses a more robust approach. Still, the mention types it recognises are a direct match to the slots of the query sketch. Therefore, extending it to queries beyond the sketch is not trivial. 6.7 The return of the sequence Generating SQL queries using a sequence-based decoder was initially avoided as it could produce syntax and grammar errors, as discussed in Section 4.4. Grammar-based decoders were instead regarded as the best choice for a system to effectively generate complex SQL queries. However, recent works [57,76,97] have changed the landscape by introducing a series of techniques that minimise the possibility of errors by sequence-based decoders. These techniques have made the use of very powerful pre-trained encoder–decoder mod- els [52,74] a viable and high-performing option, allowing the systems that use them to achieve top performance in both the Spider and WikiSQL benchmarks. SeaD [97] is a system based on the BART [ 52] encoder– decoder pre-trained language model designed on WikiSQL. To overcome the drawbacks of its sequence-based decoder, SeaD employs two techniques: ( a) it introduces two addi- tional tasks on which the model is trained at the same time with the text-to-SQL task, and ( b) it uses execution- guided decoding [ 91], slightly modiﬁed to work with its sequence-based decoder. Its main contribution is the use of the two additional training tasks named erosion and shufﬂe (see Sect. 4.5), which are designed speciﬁcally to help the model better understand the nature of the text-to-SQL prob- lem and the tables used by the WikiSQL dataset. The use of additional training tasks is also closely aligned with how language models are pre-trained to understand the more gen- eral notion of natural language before being ﬁne-tuned to a speciﬁc task. Nevertheless, while SeaD has managed to over- come the limitations of sequence-based decoders and achieve the best performance on the WikiSQL benchmark, both the decoding technique and the additional objectives it employs are designed with the WikiSQL dataset in mind. Extending them to full relational databases would not be a trivial matter. BRIDGE [57] is another recent system with a sequence- based decoder that works on Spider, although it does not use an encoder–decoder language model. Instead, it uses BERT [ 19] and LSTM networks for input encoding and enriches the input representation using linear networks that use metadata such as foreign and primary key relation- ships, as well as column type information. Additionally, the system performs schema linking using fuzzy string match- ing between query candidates and the values of columns that only take values from a pre-deﬁned list (i.e. picklist attributes). The discovered values are added in the input sequence to help the network create better SQL queries. Finally, the sequence-based decoder used by BRIDGE is a pointer generator network using schema-consistency guided 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,22,page,"926 G. Katsogiannis-Meimarakis, G. Koutrika decoding, a constraining strategy to avoid the aforemen- tioned drawbacks of sequence-based decoders. In order to use schema-consistency guided decoding, BRIDGE is trained (and makes predictions) on SQL queries written in execution order, i.e. all queries start with the FROM clause, followed by the WHERE, GROUP BY , HA VING, SELECT, ORDER BY and LIMIT clauses, strictly in that order. This means that all columns that appear in the query, must appear after the table that they belong to has been generated. Based on this, BRIDGE can limit the search space of columns and avoid using columns that will produce invalid SQL queries. PICARD [76] is a constraining technique for auto- regressive decoders of language models, that is speciﬁcally created to improve their performance on the text-to-SQL task. Essentially, at each prediction step, it constrains the model’s set of possible predictions by removing tokens that could pro- duce syntactically and grammatically incorrect SQL queries. It is used at inference time, by looking at the conﬁdence scores of the model’s prediction and the schema of the under- lying DB, and it operates at three levels: • it rejects misspelled attributes and keywords, as well as tables and columns that are invalid for the given schema, • it parses the output as an AST to reject grammatical errors, such as an incorrect order of keywords and clauses or an incorrect query structure, • it checks that all used tables have been brought into scope by being included in the FROM clause and that all used columns belong to exactly one table that has been brought into scope. When PICARD is used with the T5 [ 74] pre-trained lan- guage model (the 3B parameters version), it ranked ﬁrst on the Spider leaderboard for execution with values. This of course does not come without any drawbacks, such as the increased prediction time due to the constrained decoding, as well as the tremendous computational and memory require- ments for training and running such a large model as T5-3B. 7 Discussion and higher-level comparison In what follows, we make several observations regard- ing how the landscape is shaped along the dimensions of our taxonomy, presented in Sect. 4. Table 3 provides an overview of the design choices of each system studied in this survey. Additionally, we provide some higher-level insights that can be useful for practitioners interested in introduc- ing a deep learning text-to-SQL system in a real-world use case. These insights include remarks concerning: adaptabil- ity to new databases, difﬁculty of implementation, technical demands, and other advantages and drawbacks of certain design choices. A summary of these insights can be seen in Table 4. Output decoding There is a connection between the decod- ing approach used by a system and the benchmark on which it operates. Systems that operate on Spider do not use a sketch-based decoder. This is due to the fact that sketch- based approaches are more cumbersome to be adapted for generating complex SQL queries. RY ANSQL [13] attempted extending the sketch-based approach to Spider, but later systems steered away from this choice. Furthermore, while until recently grammar-based decoders dominated the Spider benchmark and sketch-based decoders dominated WikiSQL, recent improvements in sequenced-based decoders have turned the tables, bringing sequence-based decoders on the top of both benchmarks (i.e. T5-3B+PICARD [ 76] for Spider and SeaD [ 97] for WikiSQL). The output decoder is what deﬁnes the system’s SQL expressiveness and the effort needed to implement and extend the system to new types of SQL queries. For example, grammar-based decoders are harder to implement, since an extensive grammar is required in order for the system to cover all the possible SQL queries that the use case in question might require. Additionally, extending a system to use mathematical operations (e.g. WHERE end_year - start_year < 4 ) will require varying degrees of effort depending on the type of decoder. In the case of a sketch- based or grammar-based decoder, an extension of the sketch or grammar is necessary to cover the new query type. On the other hand, sequence-based decoders can effectively gener- ate everything (which is usually a drawback), as long as there are training examples to learn from. NL representation . There is a clear tendency by the lat- est models to use PLMs for NL representation. Besides the systems that use GNNs for input encoding [ 8,9], the only sys- tems that use word embeddings for NL representation, were published before PLMs were widely available. In almost all cases, the use of a PLM instead of word embeddings leads to a boost in performance. This is also shown in some systems that were originally designed to work with word embeddings, but are also tested with a PLM during ablation studies (e.g. RA T-SQL [89], RY ANSQL [13]). In fact, with the constant introduction of new PLMs, the question of which PLMs is more suitable becomes all the more relevant. However, a major, typically overlooked, drawback of PLMs is their com- putational cost and hardware requirements. Even though the cost of pre-training can be alleviated because it is very easy to ﬁnd a pre-trained model online, there is still the cost of training for the text-to-SQL downstream task, as well as dur- ing inference. Running a model with a PLM will also require an additional amount of computational resources (usually memory and/or a GPU) due to the size of these models. For example, BERT-base [19] has 110M parameters, BERT-large has 340M parameters, and T5 [ 74] has variations of similar 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,23,page,"A survey on deep learning approaches for text-to-SQL 927 Table 3 Systems examined in this work Year System Benchmark Schema linking Natural language Input encoding Output decoding Neural training Output reﬁnement 2017 Seq2SQL WikiSQL × WE Separate Sequence FS × SQLNet WikiSQL × WE Separate Sketch FS × 2018 IncSQL WikiSQL × WE Separate Grammar FS × TypeSQL WikiSQL ✓ WE Separate Sketch FS × Coarse2Fine WikiSQL × WE Separate Sketch FS × SyntaxSQLNet Spider × WE Separate Sketch FS × 2019 SQLova WikiSQL × E-PLM Serialise Sketch TL EG decoding IRNet Spider ✓ WE or E-PLM Serialise Grammar TL × X-SQL WikiSQL × E-PLM Serialise Sketch TL EG decoding RA T-SQL Spider ✓ WE or E-PLM Graph Grammar TL × GNN Spider ✓ WE Graph Grammar FS × Global-GNN Spider ✓ WE Graph Grammar FS Re-ranking 2020 V alueNet Spider ✓ E-PLM Serialise Grammar TL × BRIDGE Spider ✓ E-PLM Serialise Sequence TL Constr. decoding HydraNet WikiSQL × E-PLM Per column Sketch TL EG decoding IE-SQL WikiSQL ✓ E-PLM Serialise Sketch TL EG decoding RY ANSQL Spider × WE or E-PLM Serialise Sketch TL × SmBoP Spider ✓ E-PLM Graph Grammar TL × 2021 SDSQL WikiSQL ✓ E-PLM Serialise Sketch TL + AO EG decoding SeaD WikiSQL × ED-PLM Serialise Sequence TL + AO Constr. decoding T5-3B+PICARD Spider × ED-PLM Serialise Sequence TL Constr. decoding In the natural language column, WE, E-PLM and ED-PLM stand for word embeddings, encoder-only PLM and encoder–decoder PLM accordingly. In the neural t raining column, FS, TL and AO stand for fresh start, transfer learning and additional objective accordingly. In the output reﬁnement column, EG decoding and constr. Decoding sta nd for execution-guided and constrained decoding accordingly 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,2,caption,Table 3 Systems examined in this work
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,24,page,"928 G. Katsogiannis-Meimarakis, G. Koutrika Table 4 Higher-level comparison of taxonomy dimensions on various practical dimensions ( ➚ signiﬁes good performance, ➘ signiﬁes poor performance, and ➙ signiﬁes average performance) WE E-PLMED-PLMSeparateSerialisePer columnGraphSketchGrammarSequenceFresh StartTr. learningAdd. objectivesEG-deco ding Constr. decoding Re-ranking Natural Input Output Neural Output language encoding decoding training reﬁnement Ease of implementation Use with full RDBs Extend to new SQL types Computational costs Handling large schemas sizes that reach up to 11B parameters, while the one pre- sented with PICARD [ 76] has 3B parameters. This must be considered, especially when building applications that must support heavy workloads or have low latency requirements. Input encoding Regarding input encoding, there are two main observations to point out: ( a) while earlier systems performed separate encoding, later systems use serialised or graph encoding, and ( b) newer systems working on the Wik- iSQL, all use serialised encoding. The clear tendency to use serialised encoding can be easily attributed to the extensive use of PLMs, which offer much better performance with a serialised input. This is even more true in the case of Wik- iSQL, because single tables can easily be serialised along with the NLQ making the combination of PLMs and seri- alised encoding an easy and powerful choice. However, when it comes to DBs with several tables and relationships among them and their columns, a more ﬂexible and informative rep- resentation is required. Some systems have examined the more innovative approach of graph encoding, which so far seems promising, offering a lot of ground for future research. Another practical limitation that must be taken into account is how ﬂexible each encoding option is when it comes to DBs with large schemas. For example, the SDSS database, which stores data from astronomical surveys, has 87 tables with some tables containing up to a hundred columns. Serialising such a schema would result in a very long sequence that can- not be processed by a PLM due to their limitation in input length. Similarly, performing separate encoding might cre- ate a bottleneck in the schema encoder side. Graph encoding might be more efﬁcient for handling larger schemas, since GNNs can encode each schema element as a single node. However, this approach is also prone to poorer performance as the schema gets larger. Schema linking Table 5 displays the schema linking tech- niques used by each system studied in this survey. While the ﬁrst text-to-SQL systems did not perform any kind of schema linking, later systems have proposed various intri- cate schema linking pipelines. On the query side, we observe that almost all systems consider single-word and multi-word tokens, while V alueNet [ 10] also performs NER to ﬁnd pos- sible candidates. On the DB side, using the table and column names is the baseline for most systems, while some sys- tems also lookup the values that are present in the DB. Finally, to match the candidates, some systems use simple text matching (either exact or partial), while newer systems have experimented with the use of classiﬁers instead of string operations to ﬁnd matches. It becomes quickly apparent that schema linking is mostly explored by systems operating on the Spider dataset, accompanied by very few systems using the WikiSQL benchmark. This is somewhat expected, given that as the SQL complexity and the volume of tables, columns and data increase, researchers seek to aid the neural network by providing auxiliary information. However, what is very peculiar is that some high performing recent systems (i.e. T5-3B+PICARD [ 76] and SeaD [ 97]) do not perform any schema linking at all. This is an open research question. Can powerful neural architectures, pre-trained on vast amounts of data, defy the need for schema linking? Or, can they achieve even higher scores if combined with schema link- ing? One important observation is that very little effort has been put into testing how fast and scalable these approaches are, especially for very large databases. In fact, to the best of our knowledge, only a single work [ 86] provides exper- imental evaluations concerning the time and memory used for schema linking. Hence, extra caution is necessary when using these methods in a real-world system, as most of them are not adequately optimised. Neural training The neural training dimension is closely connected to the NL representation adopted by each system. This happens because using a PLM means that the model adopts the Transfer Learning paradigm, because it further trains an already pre-trained neural component on a new downstream task. There are no cases of systems perform- ing transfer learning on other parts of the model besides the 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,2,caption,"Table 4 Higher-level comparison of taxonomy dimensions on various practical dimensions ( ➚ signiﬁes good performance, ➘ signiﬁes poor"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,25,page,"A survey on deep learning approaches for text-to-SQL 929 NL representation part. This is mostly due to the fact that PLMs perform exceptionally well, and making an improve- ment through a different transfer learning technique would be very difﬁcult. Furthermore, there are only two models that use additional objectives during training [ 57,97]. This relatively novel approach follows the success of PLMs using vari- ous auxiliary tasks during pre-training and seems to be very promising in training a model that achieves better generalisa- tion. It must be noted that the time and computing resources needed to train a model using each training approach are usu- ally not taken into account when presenting new models, in favour of better performance metrics. It is however necessary to address them in order to make the use of such models feasi- ble in a real-world application. For example, the pre-training part of transfer learning is very costly, unless the pre-trained model is made available by its creators. Similarly, using addi- tional objectives will greatly increase the computations that must be performed, thus increasing the cost of training. Output reﬁnement The output reﬁnement heavily depends on the approach used for output decoding, as well as the dataset that the system operates on. A system designed for WikiSQL can use execution-guided decoding [ 91], no matter the type of its decoder because of the simplicity of the Wik- iSQL queries. Systems with sequence-based decoders can use constrained decoding techniques to improve their pre- dictions and reduce the possibilities of errors. In fact, this output reﬁnement technique is one of the main reasons why they can be so effective. The re-ranking technique could be used by any system that can produce more than one predic- tions for a single input, but in practice it has not been adopted by any other system after being proposed by Global-GNN [ 9]. Furthermore, each reﬁnement technique adds an additional burden to the system that translates to extra computational cost and more time needed to make a prediction. When used in a real-time application, it is necessary to consider if the performance boost gained from the reﬁnement step, is worth the extra time and resources required. 8 Research challenges While a lot of progress has been made on the text-to-SQL problem, several important issues need to be tackled. In this section, we outline some of the most challenging prob- lems and highlight interesting research opportunities for the database and the machine learning communities that could greatly impact the state of the art in text-to-SQL research and beyond. 8.1 Benchmarks As mentioned earlier, WikiSQL and Spider are large-scale query benchmarks that provide a common way to evaluate and compare different systems. They have simpliﬁed system evaluation, and they are often seen as the panacea for text- to-SQL evaluation. Researchers tend to over-rely on these benchmarks to argue that their systems are advancing the state of the art, and they do not spend time performing addi- tional experiments on other benchmarks. However, given the progress in system-building, new standards are necessary for benchmarking text-to-SQL systems, in order to make these systems applicable to real-world scenarios, and to continue pushing the state of the art. First of all, datasets such as WikiSQL, that contain single- table databases and very simple SQL queries, cannot be seen as realistic benchmarks for real-world applications. Given that the SQL queries in WikiSQL can be covered by a very simple sketch, as the one shown in Fig. 8, and current systems have reached very high accuracy scores on this dataset, there is a need for more challenging benchmarks. These bench- marks were a good start for the neural text-to-SQL ﬁeld and have allowed a lot of novel ideas to be implemented in a “sandbox” environment, but the state of the art is now able to achieve much more. Similarly, Spider contains DBs and queries that were speciﬁcally created for text-to-SQL evaluation but they are rather simplistic and do not reﬂect the characteristics of real- world DBs. For example, the Spider DBs have a simple schema or too little data stored. In fact, the 166 DBs of Spider that are available to the public (i.e. train and dev set, since the test set is held-out by the authors) sum up to less than 1GB. Ideally, new benchmarks should aspire to introduce real cases of DBs taken from the industry and academia, accom- panied with real logs of SQL queries performed on them by their users. The NLQ part could be obtained either by asking the users to specify what their intention was when running these queries, by asking SQL experts to explain them, or by employing a SQL-to-text system. Another important drawback of current benchmarks is their relatively small number of examples (i.e. NL-SQL pairs), especially compared to datasets used by deep neu- ral networks in other problems (e.g. the SQuAD Question Answering dataset contains more than 100K examples). Besides the obvious contribution of creating a new large- scale dataset from scratch, there are a few other paths that could be considered. For example, it would be possible to create a novel benchmark suite containing multiple previ- ous benchmarks. This would not be a trivial work, since a lot of consideration is needed concerning how to split the datasets in a way that the train and test sets could help devel- opers understand if their system can successfully generalise to unseen DBs, domains, SQL query patterns, NLQ vocab- ulary, etc. Another way to create a new benchmark could be by transforming similar benchmarks used in slightly dif- ferent tasks, or different query languages. For example, a text-to-SPARQL dataset, such as the CFQ dataset [ 46] that 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,26,page,"930 G. Katsogiannis-Meimarakis, G. Koutrika Table 5 A comparison of schema linking techniques used by the examined systems; the schema linking process is divided in the query candidate discovery, DB candidate discovery and candidate matching phases, as described in our taxonomy Single tokens Multi-word tok ens Named entitiesAdd itional ca ndi dates Tab le and col umn names Values via lookupValues via KG s Exact matchingPart ial matching Appro ximate matching Learned embeddings Classiﬁers Year System Benchmark Query DB Matching 2017 Seq2SQL WikiSQL SQLNet WikiSQL 2018 IncSQL WikiSQL TypeSQL WikiSQL Coarse2Fine WikiSQL SyntaxSQLNet Spider 2019 SQLova WikiSQL IRNet Spider X-SQL WikiSQL RAT-SQL Spider GNN Spider Global-GNN Spider 2020 ValueNet Spider BRIDGE Spider HydraNet WikiSQL IE-SQL WikiSQL RYANSQL Spider SmBoP Spider 2021 DBTagger - SDSQL WikiSQL SeaD WikiSQL T5-3B+PICARD Spider contains more than 200 thousand NLQ-to-SPARQL exam- ples or the LC-QuAD dataset [ 85] that contains 5 thousand examples, would be very beneﬁcial if converted to SQL (sim- ilarly to how the WikiTableQuestions [ 67] was used to create the SQUALL [ 80] text-to-SQL dataset). Another critical limitation of existing benchmarks is that they fail to address the question of what type of NL and SQL queries a system can understand and build, respectively. This is due to the lack of a clear query categorisation. For instance, Spider has four very coarse-grained classes of queries. This highlights the need for new benchmarks and in-depth system evaluations, in the spirit of [ 6,30], that provide ﬁne-grained query categories and allow researchers to understand the strengths and weaknesses of a system. Furthermore, existing benchmarks assume that for each NL query, there is only one correct SQL query. This may be restricting. First, there are NL queries that may have more than one correct translations over the data. Second, equivalent SQL queries are written in a different way but return the same results. Finally, while the state-of-the-art systems are still dealing with “getting the answer right”, they are mostly overlooking the “getting the answer fast”. The database community could come up with benchmarks that focus on efﬁciency (not just effectiveness) and allow evaluating systems based on execu- tion time and resource consumption in addition to translation accuracy. 8.2 System efficiency and technical feasibility Focusing on the translation accuracy of the system is only one side of the coin. Evaluating system efﬁciency is important in order to understand the viability of a solution and pinpoint the pain points that need to be addressed. Deep learning text-to- SQL systems are typically relying on very complex models, which have been trained and evaluated in toy databases (like the ones contained in existing benchmarks). Hence, it comes to no surprise that they have not yet seen practical applica- tions in real-life use-cases and domains, and their usefulness is to be proved. Several important challenges need to be tack- led ﬁrst. Firstly, while the use of PLMs for NL Representation is highly favoured by newer systems, these models introduce a large overhead at inference time, and while using larger 123"
Katsogiannis-Meimarakis and Koutrika - 2023 - A survey on deep learning approaches for text-to-S.pdf,2,caption,Table 5 A comparison of schema linking techniques used by the examined systems; the schema linking process is divided in the query candidate
